Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
002_F.png,0.9434,0.9767,0.9598,0.9227,0.9965,53.636,10994,659,262,250229
005_F.png,0.6004,0.9875,0.7468,0.5959,0.9497,652.714,19458,12950,246,229490
006_F.png,0.73,0.9943,0.8419,0.7269,0.9436,746.645,39342,14553,226,208023
011_F.png,0.9817,0.9197,0.9497,0.9041,0.999,45.487,2358,44,206,259536
013_F.png,0.991,0.9717,0.9812,0.9632,0.9966,50.132,23074,210,672,238188
014_F.png,0.9725,0.9772,0.9748,0.9509,0.9991,47.966,4804,136,112,257092
015_F.png,0.9863,0.9823,0.9843,0.9691,0.9966,49.203,27870,388,502,233384
016_F.png,0.9822,0.9445,0.963,0.9287,0.9985,48.142,4972,90,292,256790
017_F.png,0.9198,0.9677,0.9431,0.8923,0.9965,49.067,7600,663,254,253627
018_F.png,0.7926,0.6676,0.7247,0.5683,0.9957,46.906,1498,392,746,259508
019_F.png,0.8787,0.6455,0.7443,0.5927,0.9924,46.526,2884,398,1584,257278
020_F.png,0.8262,0.6915,0.7529,0.6037,0.9951,46.747,1939,408,865,258932
021_F.png,0.9862,0.9554,0.9706,0.9428,0.9989,48.362,4846,68,226,257004
024_F.png,0.9978,0.989,0.9934,0.9869,0.9971,54.633,56187,125,623,205209
025_F.png,0.5791,0.8876,0.7009,0.5395,0.9862,46.201,4231,3075,536,254302
026_F.png,0.996,0.8902,0.9401,0.887,0.9971,47.46,5998,24,740,255382
027_F.png,0.9831,0.9185,0.9497,0.9043,0.9952,46.51,11959,205,1061,248919
028_F.png,0.9962,0.9125,0.9525,0.9093,0.9893,47.83,28246,108,2710,231080
029_F.png,0.9999,0.9524,0.9756,0.9523,0.9962,47.382,19764,2,988,241390
031_F.png,0.9606,0.8425,0.8977,0.8144,0.9976,46.47,2782,114,520,258728
033_F.png,0.5503,0.9959,0.7089,0.549,0.9778,53.959,7099,5802,29,249214
035_F.png,0.8642,0.9718,0.9149,0.8431,0.9487,216.227,72318,11360,2098,176368
036_F.png,0.9329,0.9187,0.9257,0.8617,0.9985,47.338,2418,174,214,259338
037_F.png,0.6153,0.978,0.7553,0.6068,0.9965,54.682,1420,888,32,259804
038_F.png,0.5927,0.9812,0.739,0.586,0.9768,81.047,8598,5909,165,247472
040_F.png,0.9983,0.9774,0.9878,0.9759,0.9958,50.515,44698,74,1032,216340
048_F.png,0.9992,0.4708,0.64,0.4706,0.9514,47.955,11332,9,12737,238066
049_F.png,0.9978,0.3546,0.5232,0.3543,0.9876,46.493,1785,4,3249,257106
050_F.png,0.9979,0.6613,0.7955,0.6604,0.9628,46.148,18964,40,9712,233428
051_F.png,0.9934,0.9422,0.9671,0.9363,0.9929,46.273,27207,181,1669,233087
053_F.png,0.8188,0.3655,0.5055,0.3382,0.9782,48.914,2920,646,5068,253510
054_F.png,0.9584,0.3843,0.5486,0.378,0.9709,47.219,4628,201,7415,249900
058_F.png,0.9863,0.7868,0.8753,0.7783,0.9956,47.312,4093,57,1109,256885
064_F.png,1.0,0.5065,0.6724,0.5065,0.8585,45.809,38058,0,37085,187001
069_F.png,0.9697,0.4352,0.6007,0.4293,0.9841,45.354,3141,98,4077,254828
073_F.png,0.8279,0.6417,0.723,0.5661,0.86,133.828,47881,9954,26740,177569
074_F.png,1.0,0.5013,0.6678,0.5013,0.9286,46.344,18812,0,18715,224617
076_F.png,0.6936,0.9917,0.8163,0.6897,0.9975,54.154,1440,636,12,260056
077_F.png,0.9373,0.6143,0.7422,0.5901,0.9956,47.605,1674,112,1051,259307
078_F.png,0.9956,0.467,0.6358,0.4661,0.9792,48.053,4754,21,5425,251944
079_F.png,0.5027,0.9312,0.6529,0.4847,0.9775,66.164,5545,5485,410,250704
085_F.png,0.437,0.5866,0.5009,0.3341,0.91,644.512,11831,15241,8339,226733
092_F.png,0.9625,0.5236,0.6782,0.5131,0.9902,46.911,2695,105,2452,256892
093_F.png,0.781,0.3859,0.5165,0.3482,0.9807,47.494,2696,756,4291,254401
115_F.png,0.8123,0.6583,0.7272,0.5713,0.8567,131.844,50084,11575,26002,174483
116_F.png,0.8652,0.4731,0.6117,0.4406,0.994,50.894,1232,192,1372,259348
118_F.png,0.5383,0.9749,0.6936,0.5309,0.9709,79.742,8633,7406,222,245883
120_F.png,1.0,0.6886,0.8156,0.6886,0.9572,51.099,24795,0,11215,226134
122_F.png,0.978,0.8285,0.897,0.8133,0.9952,50.673,5520,124,1143,255357
125_F.png,0.962,0.4309,0.5952,0.4237,0.9834,50.446,3191,126,4214,254613
126_F.png,0.9985,0.7614,0.8639,0.7605,0.9719,51.036,23376,36,7327,231405
127_F.png,0.8176,0.3925,0.5304,0.3609,0.9804,50.144,2896,646,4482,254120
130_F.png,1.0,0.4501,0.6208,0.4501,0.9552,50.958,9609,0,11740,240795
135_F.png,0.9473,0.7944,0.8641,0.7608,0.9951,51.427,4045,225,1047,256827
136_F.png,0.9867,0.8946,0.9384,0.884,0.9875,49.371,24913,335,2934,233962
137_F.png,0.8551,0.5721,0.6855,0.5215,0.9826,51.989,4970,842,3718,252614
138_F.png,0.938,0.6581,0.7735,0.6307,0.9898,52.43,4553,301,2365,254925
139_F.png,0.9992,0.8442,0.9152,0.8437,0.9563,49.548,61865,47,11414,188818
145_F.png,0.9932,0.4991,0.6644,0.4974,0.9904,51.076,2491,17,2500,257136
146_F.png,0.9954,0.9194,0.9559,0.9156,0.9908,49.24,26248,121,2300,233475
147_F.png,0.8655,0.5242,0.6529,0.4847,0.9831,51.769,4156,646,3773,253569
148_F.png,0.9991,0.6803,0.8095,0.6799,0.9918,53.293,4590,4,2157,255393
149_F.png,1.0,0.8755,0.9336,0.8755,0.9643,49.667,65741,3,9346,187054
150_F.png,1.0,0.4345,0.6058,0.4345,0.955,50.047,9055,0,11785,241304
152_F.png,0.9956,0.532,0.6935,0.5308,0.9878,49.61,3631,16,3194,255303
156_F.png,0.9969,0.8922,0.9416,0.8897,0.988,54.754,25455,80,3075,233534
157_F.png,0.9176,0.921,0.9193,0.8507,0.9951,59.336,7285,654,625,253580
158_F.png,1.0,0.5838,0.7372,0.5838,0.9893,57.198,3949,0,2815,255380
159_F.png,0.9999,0.8377,0.9116,0.8376,0.9535,55.232,62919,5,12193,187027
160_F.png,0.9996,0.3632,0.5328,0.3632,0.9241,55.073,11347,4,19894,230899
163_F.png,0.7341,0.4375,0.5483,0.3777,0.9801,59.825,3159,1144,4061,253780
183_F.png,0.9983,0.6707,0.8023,0.6699,0.9913,57.84,4633,8,2275,255228
184_F.png,0.9953,0.3732,0.5428,0.3725,0.8659,54.78,20868,98,35052,206126
186_F.png,1.0,0.3839,0.5548,0.3839,0.984,54.664,2615,0,4197,255332
188_F.png,0.4114,0.6632,0.5078,0.3403,0.9841,54.388,2148,3073,1091,255832
193_F.png,0.8146,0.6475,0.7215,0.5643,0.8549,138.379,49286,11215,26833,174810
198_F.png,1.0,0.4071,0.5787,0.4071,0.9923,55.693,1383,0,2014,258747
199_F.png,0.77,0.467,0.5814,0.4098,0.9944,63.975,1018,304,1162,259660
200_F.png,0.9982,0.6381,0.7785,0.6373,0.9857,53.259,6606,12,3747,251779
