Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
001_F.png,0.1764,0.5303,0.2648,0.1526,0.9466,51.984,2522,11773,2234,245615
002_F.png,0.9434,0.9767,0.9598,0.9227,0.9965,53.636,10994,659,262,250229
003_F.png,0.0845,0.9246,0.1549,0.0839,0.8263,67.647,4172,45190,340,212442
004_F.png,0.2526,0.9957,0.403,0.2523,0.9663,651.711,2981,8819,13,250331
005_F.png,0.6004,0.9875,0.7468,0.5959,0.9497,652.714,19458,12950,246,229490
006_F.png,0.73,0.9943,0.8419,0.7269,0.9436,746.645,39342,14553,226,208023
007_F.png,0.0868,0.9434,0.1589,0.0863,0.8016,79.996,4915,51726,295,205208
008_F.png,0.0066,1.0,0.0131,0.0066,0.5849,596.959,720,108807,0,152617
009_F.png,0.069,0.9922,0.129,0.0689,0.638,533.624,7025,94842,55,160222
010_F.png,0.0134,0.9305,0.0265,0.0134,0.7899,97.212,750,55017,56,206321
011_F.png,0.9817,0.9197,0.9497,0.9041,0.999,45.487,2358,44,206,259536
012_F.png,0.1749,0.9711,0.2965,0.174,0.7405,289.692,14333,67598,427,179786
013_F.png,0.991,0.9717,0.9812,0.9632,0.9966,50.132,23074,210,672,238188
014_F.png,0.9725,0.9772,0.9748,0.9509,0.9991,47.966,4804,136,112,257092
015_F.png,0.9863,0.9823,0.9843,0.9691,0.9966,49.203,27870,388,502,233384
016_F.png,0.9822,0.9445,0.963,0.9287,0.9985,48.142,4972,90,292,256790
017_F.png,0.9198,0.9677,0.9431,0.8923,0.9965,49.067,7600,663,254,253627
018_F.png,0.7926,0.6676,0.7247,0.5683,0.9957,46.906,1498,392,746,259508
019_F.png,0.8787,0.6455,0.7443,0.5927,0.9924,46.526,2884,398,1584,257278
020_F.png,0.8262,0.6915,0.7529,0.6037,0.9951,46.747,1939,408,865,258932
021_F.png,0.9862,0.9554,0.9706,0.9428,0.9989,48.362,4846,68,226,257004
022_F.png,0.288,0.9283,0.4396,0.2817,0.9772,68.236,2342,5790,181,253831
023_F.png,0.2061,0.9783,0.3404,0.2051,0.9068,103.957,6304,24286,140,231414
024_F.png,0.9978,0.989,0.9934,0.9869,0.9971,54.633,56187,125,623,205209
025_F.png,0.5791,0.8876,0.7009,0.5395,0.9862,46.201,4231,3075,536,254302
026_F.png,0.996,0.8902,0.9401,0.887,0.9971,47.46,5998,24,740,255382
027_F.png,0.9831,0.9185,0.9497,0.9043,0.9952,46.51,11959,205,1061,248919
028_F.png,0.9962,0.9125,0.9525,0.9093,0.9893,47.83,28246,108,2710,231080
029_F.png,0.9999,0.9524,0.9756,0.9523,0.9962,47.382,19764,2,988,241390
030_F.png,0.1932,0.9968,0.3237,0.1931,0.765,532.431,14737,61545,47,185815
031_F.png,0.9606,0.8425,0.8977,0.8144,0.9976,46.47,2782,114,520,258728
032_F.png,0.237,0.8614,0.3717,0.2283,0.9465,69.728,4152,13366,668,243958
033_F.png,0.5503,0.9959,0.7089,0.549,0.9778,53.959,7099,5802,29,249214
034_F.png,0.1441,0.8955,0.2483,0.1418,0.434,1685.571,24507,145511,2859,89267
035_F.png,0.8642,0.9718,0.9149,0.8431,0.9487,216.227,72318,11360,2098,176368
036_F.png,0.9329,0.9187,0.9257,0.8617,0.9985,47.338,2418,174,214,259338
037_F.png,0.6153,0.978,0.7553,0.6068,0.9965,54.682,1420,888,32,259804
038_F.png,0.5927,0.9812,0.739,0.586,0.9768,81.047,8598,5909,165,247472
039_F.png,0.2779,0.6537,0.39,0.2423,0.9507,53.002,4130,10729,2188,245097
040_F.png,0.9983,0.9774,0.9878,0.9759,0.9958,50.515,44698,74,1032,216340
041_F.png,0.0004,0.001,0.0006,0.0003,0.9752,620.103,2,4502,1994,255646
042_F.png,0.2782,0.6303,0.386,0.2391,0.9771,618.021,1887,4897,1107,254253
043_F.png,0.0409,0.7305,0.0775,0.0403,0.5235,841.104,5250,122967,1937,131990
044_F.png,0.0534,0.991,0.1013,0.0533,0.5174,855.805,7129,126452,65,128498
045_F.png,0.0065,0.5438,0.0129,0.0065,0.7386,122.006,447,68139,375,193183
046_F.png,0.0,0.0,0.0,0.0,0.9902,45.787,0,0,2564,259580
047_F.png,0.0,0.0,0.0,0.0,0.9902,46.02,0,0,2564,259580
048_F.png,0.9992,0.4708,0.64,0.4706,0.9514,47.955,11332,9,12737,238066
049_F.png,0.9978,0.3546,0.5232,0.3543,0.9876,46.493,1785,4,3249,257106
050_F.png,0.9979,0.6613,0.7955,0.6604,0.9628,46.148,18964,40,9712,233428
051_F.png,0.9934,0.9422,0.9671,0.9363,0.9929,46.273,27207,181,1669,233087
052_F.png,1.0,0.0635,0.1194,0.0635,0.8975,45.709,1820,0,26858,233466
053_F.png,0.8188,0.3655,0.5055,0.3382,0.9782,48.914,2920,646,5068,253510
054_F.png,0.9584,0.3843,0.5486,0.378,0.9709,47.219,4628,201,7415,249900
055_F.png,0.0,0.0,0.0,0.0,0.9928,45.677,0,388,1501,260255
056_F.png,0.0,0.0,0.0,0.0,0.9863,46.175,0,486,3099,258559
057_F.png,0.0,0.0,0.0,0.0,0.9892,45.702,0,486,2358,259300
058_F.png,0.9863,0.7868,0.8753,0.7783,0.9956,47.312,4093,57,1109,256885
059_F.png,0.0,0.0,0.0,0.0,0.9742,48.365,0,0,6770,255374
060_F.png,0.0,0.0,0.0,0.0,0.9833,46.641,0,0,4384,257760
061_F.png,0.0,0.0,0.0,0.0,0.8801,46.205,0,105,31316,230723
062_F.png,0.0,0.0,0.0,0.0,0.9201,47.332,0,0,20947,241197
063_F.png,0.0,0.0,0.0,0.0,0.9799,46.478,0,0,5264,256880
064_F.png,1.0,0.5065,0.6724,0.5065,0.8585,45.809,38058,0,37085,187001
065_F.png,0.0,0.0,0.0,0.0,0.9598,48.038,0,0,10551,251593
066_F.png,0.0,0.0,0.0,0.0,0.9852,45.399,0,0,3882,258262
067_F.png,0.0,0.0,0.0,0.0,0.9833,48.378,0,0,4367,257777
068_F.png,0.0,0.0,0.0,0.0,0.9099,68.61,0,8398,15222,238524
069_F.png,0.9697,0.4352,0.6007,0.4293,0.9841,45.354,3141,98,4077,254828
070_F.png,0.0,0.0,0.0,0.0,0.9507,51.861,0,10854,2061,249229
071_F.png,0.0,0.0,0.0,0.0,0.9872,46.942,0,0,3358,258786
072_F.png,0.0828,0.2486,0.1242,0.0662,0.935,67.013,1208,13385,3651,243900
073_F.png,0.8279,0.6417,0.723,0.5661,0.86,133.828,47881,9954,26740,177569
074_F.png,1.0,0.5013,0.6678,0.5013,0.9286,46.344,18812,0,18715,224617
075_F.png,0.0,0.0,0.0,0.0,0.8242,45.559,0,0,46085,216059
076_F.png,0.6936,0.9917,0.8163,0.6897,0.9975,54.154,1440,636,12,260056
077_F.png,0.9373,0.6143,0.7422,0.5901,0.9956,47.605,1674,112,1051,259307
078_F.png,0.9956,0.467,0.6358,0.4661,0.9792,48.053,4754,21,5425,251944
079_F.png,0.5027,0.9312,0.6529,0.4847,0.9775,66.164,5545,5485,410,250704
080_F.png,0.2619,0.3415,0.2964,0.174,0.9803,46.423,1088,3067,2098,255891
081_F.png,0.0,0.0,0.0,0.0,0.9904,45.102,0,98,2423,259623
082_F.png,0.0,0.0,0.0,0.0,0.98,47.232,0,98,5143,256903
083_F.png,0.0,0.0,0.0,0.0,0.9708,45.922,0,98,7566,254480
084_F.png,0.0,0.0,0.0,0.0,0.9885,46.29,0,98,2911,259135
085_F.png,0.437,0.5866,0.5009,0.3341,0.91,644.512,11831,15241,8339,226733
086_F.png,0.0353,0.4995,0.066,0.0341,0.4852,932.355,4768,130162,4778,122436
087_F.png,0.0241,0.5454,0.0462,0.0237,0.5026,895.338,3161,127747,2635,128601
088_F.png,0.0429,0.4605,0.0784,0.0408,0.5127,864.767,5435,121375,6367,128967
089_F.png,0.0002,0.014,0.0003,0.0002,0.7385,120.845,11,67774,774,193585
090_F.png,0.9536,0.0795,0.1468,0.0792,0.9106,45.433,2016,98,23328,236702
091_F.png,0.0,0.0,0.0,0.0,0.9823,45.92,0,98,4547,257499
092_F.png,0.9625,0.5236,0.6782,0.5131,0.9902,46.911,2695,105,2452,256892
093_F.png,0.781,0.3859,0.5165,0.3482,0.9807,47.494,2696,756,4291,254401
094_F.png,0.0,0.0,0.0,0.0,0.977,55.987,0,0,6040,256104
095_F.png,0.0,0.0,0.0,0.0,0.9917,45.763,0,388,1783,259973
096_F.png,0.0,0.0,0.0,0.0,0.9895,45.866,0,388,2354,259402
097_F.png,0.0871,0.2266,0.1258,0.0671,0.9743,624.196,485,5085,1655,254919
098_F.png,0.0,0.0,0.0,0.0,0.9185,46.634,0,0,21366,240778
099_F.png,0.0,0.0,0.0,0.0,0.9651,45.421,0,196,8942,252801
100_F.png,0.0,0.0,0.0,0.0,0.9716,45.983,0,3255,4189,254700
101_F.png,0.0,0.0,0.0,0.0,0.97,78.747,0,0,7870,254274
102_F.png,0.0,0.0,0.0,0.0,0.9772,51.064,0,0,5989,256155
103_F.png,0.0,0.0,0.0,0.0,0.931,60.724,0,0,18098,244046
104_F.png,0.0,0.0,0.0,0.0,0.8819,51.136,0,0,30959,231185
105_F.png,0.0127,0.1904,0.0238,0.012,0.7373,352.294,838,65298,3563,192445
106_F.png,0.0,0.0,0.0,0.0,0.7962,50.977,0,0,53420,208724
107_F.png,1.0,0.1556,0.2693,0.1556,0.9513,51.595,2353,0,12767,247024
108_F.png,0.0,0.0,0.0,0.0,0.9641,51.074,0,0,9406,252738
109_F.png,0.0602,0.233,0.0957,0.0503,0.7997,69.224,2780,43369,9150,206845
110_F.png,0.0,0.0,0.0,0.0,0.9355,55.6,0,11861,5059,245224
111_F.png,0.0,0.0,0.0,0.0,0.9866,51.177,0,0,3515,258629
112_F.png,0.1298,0.4294,0.1993,0.1107,0.9389,69.752,1993,13366,2648,244137
113_F.png,0.1154,0.0877,0.0997,0.0525,0.9539,55.013,669,5129,6956,249390
114_F.png,0.0755,0.4434,0.129,0.0689,0.3853,1545.929,11933,146162,14979,89070
115_F.png,0.8123,0.6583,0.7272,0.5713,0.8567,131.844,50084,11575,26002,174483
116_F.png,0.8652,0.4731,0.6117,0.4406,0.994,50.894,1232,192,1372,259348
117_F.png,0.0,0.0,0.0,0.0,0.849,49.818,0,0,39582,222562
118_F.png,0.5383,0.9749,0.6936,0.5309,0.9709,79.742,8633,7406,222,245883
119_F.png,0.0593,0.1115,0.0774,0.0403,0.9381,55.321,680,10795,5419,245250
120_F.png,1.0,0.6886,0.8156,0.6886,0.9572,51.099,24795,0,11215,226134
121_F.png,0.0,0.0,0.0,0.0,0.9377,55.428,0,11861,4470,245813
122_F.png,0.978,0.8285,0.897,0.8133,0.9952,50.673,5520,124,1143,255357
123_F.png,0.0633,0.6154,0.1147,0.0609,0.8192,70.881,3072,45481,1920,211671
124_F.png,0.0428,0.8829,0.0816,0.0426,0.5172,864.021,5626,125819,746,129953
125_F.png,0.962,0.4309,0.5952,0.4237,0.9834,50.446,3191,126,4214,254613
126_F.png,0.9985,0.7614,0.8639,0.7605,0.9719,51.036,23376,36,7327,231405
127_F.png,0.8176,0.3925,0.5304,0.3609,0.9804,50.144,2896,646,4482,254120
128_F.png,0.0,0.0,0.0,0.0,0.9711,57.742,0,0,7588,254556
129_F.png,0.0,0.0,0.0,0.0,0.7495,49.545,0,0,65679,196465
130_F.png,1.0,0.4501,0.6208,0.4501,0.9552,50.958,9609,0,11740,240795
131_F.png,0.0,0.0,0.0,0.0,0.9373,55.182,0,11763,4664,245717
132_F.png,0.0,0.0,0.0,0.0,0.9761,51.603,0,105,6155,255884
133_F.png,0.0558,0.6186,0.1024,0.054,0.8212,69.036,2675,45225,1649,212595
134_F.png,0.0553,0.9764,0.1047,0.0553,0.5225,822.292,7320,124984,177,129663
135_F.png,0.9473,0.7944,0.8641,0.7608,0.9951,51.427,4045,225,1047,256827
136_F.png,0.9867,0.8946,0.9384,0.884,0.9875,49.371,24913,335,2934,233962
137_F.png,0.8551,0.5721,0.6855,0.5215,0.9826,51.989,4970,842,3718,252614
138_F.png,0.938,0.6581,0.7735,0.6307,0.9898,52.43,4553,301,2365,254925
139_F.png,0.9992,0.8442,0.9152,0.8437,0.9563,49.548,61865,47,11414,188818
140_F.png,0.0,0.0,0.0,0.0,0.8828,51.093,0,0,30720,231424
141_F.png,0.0,0.0,0.0,0.0,0.9513,54.623,0,10697,2071,249376
142_F.png,0.9977,0.1937,0.3244,0.1936,0.979,50.662,1324,3,5513,255304
143_F.png,0.0753,0.8083,0.1378,0.074,0.8241,70.279,3686,45234,874,212350
144_F.png,0.0532,0.9915,0.1011,0.0532,0.5198,828.01,7076,125824,61,129183
145_F.png,0.9932,0.4991,0.6644,0.4974,0.9904,51.076,2491,17,2500,257136
146_F.png,0.9954,0.9194,0.9559,0.9156,0.9908,49.24,26248,121,2300,233475
147_F.png,0.8655,0.5242,0.6529,0.4847,0.9831,51.769,4156,646,3773,253569
148_F.png,0.9991,0.6803,0.8095,0.6799,0.9918,53.293,4590,4,2157,255393
