Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
159_F.png,0.9984,0.8292,0.906,0.8281,0.9503,26.1474,15684,25,3231,46596
159_F_BC1.png,0.9991,0.8281,0.9056,0.8275,0.9502,14.3714,15664,14,3251,46607
159_F_BC2.png,0.9995,0.8261,0.9046,0.8258,0.9497,14.6767,15626,8,3289,46613
159_F_BC3.png,0.9979,0.8291,0.9057,0.8276,0.9502,14.1532,15682,33,3233,46588
159_F_CA1.png,0.9989,0.862,0.9254,0.8611,0.9599,14.7117,16304,18,2611,46603
159_F_CA2.png,0.9993,0.8574,0.9229,0.8569,0.9587,14.7188,16218,12,2697,46609
159_F_CA3.png,0.9982,0.8845,0.9379,0.8831,0.9662,15.0242,16731,31,2184,46590
159_F_CR1.png,0.9991,0.8503,0.9187,0.8496,0.9566,14.5734,16083,14,2832,46607
159_F_CR2.png,0.9991,0.8389,0.912,0.8382,0.9533,14.9304,15867,14,3048,46607
159_F_CR3.png,0.9991,0.8356,0.9101,0.835,0.9523,14.5934,15806,14,3109,46607
159_F_IB1.png,0.9997,0.8559,0.9222,0.8557,0.9583,14.4156,16189,5,2726,46616
159_F_IB2.png,0.9998,0.8717,0.9314,0.8716,0.9629,14.8741,16489,3,2426,46618
159_F_IB3.png,0.9992,0.8735,0.9321,0.8728,0.9633,15.3095,16522,14,2393,46607
159_F_NA1.png,0.0,0.0,0.0,0.0,0.7114,14.5824,0,0,18915,46621
159_F_NA2.png,0.0,0.0,0.0,0.0,0.7114,13.8703,0,0,18915,46621
159_F_NA3.png,0.998,0.8078,0.8929,0.8065,0.9441,14.5092,15279,30,3636,46591
159_F_JC1.jpg,1.0,0.123,0.219,0.123,0.7469,14.2445,2326,0,16589,46621
159_F_JC2.jpg,0.9991,0.6371,0.7781,0.6367,0.8951,14.8734,12051,11,6864,46610
159_F_JC3.jpg,0.999,0.7543,0.8596,0.7537,0.9289,14.342,14267,14,4648,46607
