Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
001_F.png,0.9867,0.4891,0.654,0.4859,0.9892,2.7877,670,9,700,64157
002_F.png,0.9846,0.7619,0.8591,0.7529,0.9888,0.3755,2240,35,700,62561
003_F.png,0.9044,0.9115,0.9079,0.8314,0.9967,0.276,1050,111,102,64273
004_F.png,1.0,0.3238,0.4892,0.3238,0.9921,0.2676,249,0,520,64767
005_F.png,0.972,0.3476,0.5121,0.3442,0.9496,0.3784,1733,50,3252,60501
006_F.png,0.9606,0.2744,0.4269,0.2714,0.888,0.4063,2734,112,7229,55461
007_F.png,0.0,0.0,0.0,0.0,0.9621,0.2368,0,1124,1359,63053
008_F.png,0.0,0.0,0.0,0.0,0.997,0.3907,0,0,198,65338
009_F.png,1.0,0.1018,0.1848,0.1018,0.9746,0.3646,189,0,1667,63680
010_F.png,0.963,0.8626,0.91,0.8349,0.9995,0.3595,182,7,29,65318
011_F.png,0.0,0.0,0.0,0.0,0.9898,0.2471,0,0,666,64870
012_F.png,0.9989,0.9878,0.9933,0.9868,0.9992,0.7413,3734,4,46,61752
013_F.png,0.0,0.0,0.0,0.0,0.9083,0.2723,0,0,6009,59527
014_F.png,0.9433,0.9801,0.9613,0.9256,0.9985,0.2578,1231,74,25,64206
015_F.png,0.9811,0.8997,0.9387,0.8845,0.9871,0.3697,6453,124,719,58240
016_F.png,0.9712,0.956,0.9636,0.9297,0.9985,0.3785,1283,38,59,64156
017_F.png,0.989,0.9856,0.9873,0.9749,0.9992,0.369,1981,22,29,63504
018_F.png,0.5294,0.2271,0.3179,0.189,0.9906,0.3884,144,128,490,64774
019_F.png,0.9892,0.2186,0.3581,0.2181,0.985,0.385,275,3,983,64275
020_F.png,0.9297,0.5325,0.6771,0.5119,0.994,0.3809,410,31,360,64735
021_F.png,0.0,0.0,0.0,0.0,0.9804,0.2823,0,0,1282,64254
022_F.png,0.0,0.0,0.0,0.0,0.9885,0.3615,0,102,649,64785
023_F.png,0.9817,0.9757,0.9787,0.9582,0.9989,0.3834,1605,30,40,63861
024_F.png,0.0405,0.0046,0.0082,0.0041,0.7577,0.7038,66,1565,14316,49589
025_F.png,0.3495,0.1746,0.2329,0.1318,0.9783,0.37,216,402,1021,63897
026_F.png,0.9924,0.9901,0.9912,0.9826,0.9995,0.3718,1697,13,17,63809
027_F.png,0.9854,0.4464,0.6145,0.4435,0.9715,0.3647,1487,22,1844,62183
028_F.png,0.9853,0.9735,0.9794,0.9596,0.9951,0.3652,7646,114,208,57568
029_F.png,0.9916,0.8769,0.9307,0.8704,0.9895,0.3819,4609,39,647,60241
030_F.png,0.9874,0.978,0.9827,0.966,0.998,0.3972,3698,47,83,61708
031_F.png,0.9571,0.9837,0.9702,0.9422,0.9992,0.3642,847,38,14,64637
032_F.png,0.7143,0.0162,0.0317,0.0161,0.9814,0.3711,20,8,1213,64295
033_F.png,0.9951,0.9903,0.9927,0.9855,0.9996,0.3741,1836,9,18,63673
034_F.png,0.9923,0.7285,0.8402,0.7245,0.9706,0.4028,5059,39,1885,58553
035_F.png,0.9918,0.9954,0.9936,0.9872,0.9963,0.7117,18657,155,87,46637
036_F.png,0.0,0.0,0.0,0.0,0.9892,0.3648,0,0,705,64831
037_F.png,1.0,0.2139,0.3524,0.2139,0.9955,0.3583,80,0,294,65162
038_F.png,0.9708,0.9544,0.9625,0.9278,0.9974,0.2786,2196,66,105,63169
039_F.png,0.9867,0.4063,0.5756,0.4041,0.9849,0.3799,670,9,979,63878
040_F.png,0.9958,0.0409,0.0786,0.0409,0.8301,0.7371,475,2,11133,53926
041_F.png,0.9597,0.6529,0.7771,0.6355,0.9971,0.3989,333,14,177,65012
