Image Name,Precision,Recall,F1-Score,IoU,Accuracy,ProcessingTime,TP,FP,FN,TN
114_F.png,0.9898,0.8395,0.9085,0.8323,0.9824,0.2388,5732,59,1096,58649
114_F_BC1.png,0.9902,0.8295,0.9028,0.8228,0.9814,0.403,5664,56,1164,58652
114_F_BC2.png,0.9906,0.8139,0.8936,0.8076,0.9798,0.3638,5557,53,1271,58655
114_F_BC3.png,0.9903,0.7487,0.8527,0.7432,0.9731,0.2554,5112,50,1716,58658
114_F_CA1.png,0.9889,0.8452,0.9114,0.8372,0.9829,0.244,5771,65,1057,58643
114_F_CA2.png,0.988,0.8471,0.9122,0.8385,0.983,0.7323,5784,70,1044,58638
114_F_CA3.png,0.9886,0.8231,0.8983,0.8153,0.9806,0.3745,5620,65,1208,58643
114_F_CR1.png,0.9896,0.837,0.9069,0.8297,0.9821,0.3643,5715,60,1113,58648
114_F_CR2.png,0.9896,0.8367,0.9068,0.8294,0.9821,0.3747,5713,60,1115,58648
114_F_CR3.png,0.9892,0.8355,0.9059,0.828,0.9819,0.2413,5705,62,1123,58646
114_F_IB1.png,0.9902,0.7961,0.8826,0.7899,0.9779,0.38,5436,54,1392,58654
114_F_IB2.png,0.995,0.6139,0.7594,0.6121,0.9595,0.3885,4192,21,2636,58687
114_F_IB3.png,0.9988,0.2542,0.4053,0.2542,0.9223,0.723,1736,2,5092,58706
114_F_NA1.png,0.9912,0.7586,0.8595,0.7536,0.9742,0.7308,5180,46,1648,58662
114_F_NA2.png,0.9894,0.8071,0.889,0.8002,0.979,0.3698,5511,59,1317,58649
114_F_NA3.png,0.9881,0.8358,0.9056,0.8275,0.9818,0.366,5707,69,1121,58639
114_F_JC1.jpg,0.9886,0.8869,0.935,0.8779,0.9872,0.3808,6056,70,772,58638
114_F_JC2.jpg,0.9905,0.8576,0.9193,0.8507,0.9843,0.22,5856,56,972,58652
114_F_JC3.jpg,0.9914,0.8229,0.8993,0.8171,0.9808,0.3629,5619,49,1209,58659
